contributor,indexid,filename,identifier,title,creator,date,description,subject,place,latitude,longitude,source,type,format,language,rights,rightsstatement,githubusername
Julie Tiger,mg367-75-1578-001,mg367-75-1578-001.pdf,mg367-75-1578-001,Union Investigator Report,"""S."" - No.24",1906-01-21,"Daily report from private investigator ""No.24,"" presumably written to the management of the mining company. He reports on his continued difficulty acquiring employment in the mines, as well as the drinking and gambling habits of the miners. He also reports on a potential problem with a shift boss named ""Bishop"" in the Last Chance Mine. The miners were becoming very angry about his treatment of them.",Union; Labor; Mining; Workers; Investigation; Code,"Wardner, Idaho",47.52141,-116.13692,"MG367, Bunker Hill Mining Company, University of Idaho Library Special Collections and Archives",text,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,JKTiger
Anna Bauer,pg8-x-548b,pg8-x548.jpg,pg8-x548,"Kellog, Jack","Barnard Studio (Wallace, Idaho)",1886,"Noah Kellog's  burro, who discovered the Bunker Hill and Sullivan Mine. Boys riding are Jerome Day, Sam and Frank Poteet.",Burro; mining towns;,"Warnder, Idaho",47.522668,-116.134287,"PG 8, Barnard-Stockbridge COllection, University of Idaho Library Special Collections and Archives",image; stillimage ,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,AnnaBauer96
Anna Bauer,pg8-a-71c003,pg8-a-71c003.jpg,pg8-a-71c003,"Coeur d'Alene River, Idaho","Barnard Studio (Wallace, Idaho)",1911-12-04,Bridge-crossing over the Coeur d'Aelne River,Bridge; Coeur d'Aelne River;,"Coeur d'Alene, Idaho",47.672443,-116.785176,"PG 8, Barnard-Stockbridge COllection, University of Idaho Library Special Collections and Archives",image; stillimage ,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,AnnaBauer96
Anna Bauer,mg5-001-083a,mg5-001-083.pdf,mg5-001-083,Letter to Mr. A. Burch,George T. Edmiston ,1901-12-18,Letter to George Edmiston regarding hiring Emil Nelson,,"Wallace, Idaho",47.4741,-115.9279,"MG 5, Stanly Easton Papers, University of Idaho Libeary Special Collections and Achives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,AnnaBauer96
Alex Einess,pg8-x-535b,pg8-x-535.jpg,pg8-x-535,Bunker Hill Mine,"Barnard Studio (Wallace, Idaho)",1887,"First workings of Bunker Hill, Showing original outcrop and tramway",Mining; Wardner; Trees; Snow,"Wardner, Idaho",47.5227,-116.1341,"PG 8, Barnard-Stockbridge COllection, University of Idaho Library Special Collections and Archives",,,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,Alexe52
Alex Einess,mg5-002-002,mg5-002-002.pdf,mg5-002-002,Operative Reports,Stanley-Easton,1901-07-03,Dissccussion of possible intimidation tactics against unions,,"Wallace, Idaho",47.4741,-115.9279,"MG5, Stanley Easton Papers, University of Idaho Library Collections and Archives",,,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,Alexe52
Alex Einess,pg8-x-533,pg8-x-533a.jpg,pg8-x-533a,"Burke, Idaho- Snow Slide","Barnard Studio (Wallace, Idaho)",1910,Group of miners observing a snow slide outside of a tent,Snow; Trees; Tent; Hill,"Burke, Idaho",47.31779,-115.49779,"PG 8, Barnard-Stockbridge COllection, University of Idaho Library Special Collections and Archives",,,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,Alexe52
Jacob Schumaker,mg5-004-080,mg5-004-080,mg5-004-080,Letter to Stanley Easton from W.S. Swain,"Swain, Wilson S.",1907-6-23,Operative B. 118 reports the miners were unable to sign a petiton but they had a backup plan. A woman named Burke also advised him to to com there anymore out of fear he'd be harmed,Operative; Petition; Burke,"Spokane, Washington",,,Stanley Easton,Text,,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,jschumaker91
Jacob Schumaker,mg5-004-089,mg5-004-089,mg5-004-089,Letter to Stanley Easton from W.S. Swain,"Swain, Wilson S.",1907-7-10,Letter from operative detailing two men he met who were interested in joining a union. They had both been blacklisted from Montana and Nevada.,Operative; Socialist; Anarchist,"Wallace, Idaho",,,Stanley Easton,Text,,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,jschumaker91
Zach Campbell,pg8-x-544,pg8-x-544.jpg,pg8-x-544,Hydrolic Mining- Dry Gulch,,1890,"Ladders and hoses used to wash out hydraulic mining site at Dry Gulch, Idaho.",Hydraulic; Mining; Ladders; Hoses; Water,,,,"PG 8, Barnard-Stockbridge COllection, University of Idaho Library Special Collections and Archives",,,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,
Zach Campbell,pg8-x-545ia,pg8-x-545i.jpg,pg8-x-545i,Forest Fire- Wallace Idaho,,1910-08-20,Victims of fire with bandages on heads and hands,Forest Fire; Burned; Victims; Injuries,"Wallace, Idaho",,,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives",,,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,
